userId,movieId,rating
2,46970,4
2,48516,4
2,58559,5
2,60756,5
2,68157,5
2,71535,3
2,74458,4
2,77455,3
2,79132,4
2,80489,5
2,80906,5
2,86345,4
2,89774,5
2,91529,4
2,91658,3
2,99114,4
2,106782,5
2,109487,3
2,112552,4
2,114060,2
2,115713,4
2,122882,5
2,131724,5
3,72378,1
7,32029,2
7,32031,2
7,32296,2
7,32587,4
7,33162,4
7,33493,1
7,33794,2
7,33836,1
7,34048,3
7,34319,5
7,37741,4
7,38388,4
7,42002,5
7,45499,4
7,45517,5
7,45668,1
7,45730,1
7,46530,1
7,48516,1
7,48783,5
7,48997,3
7,49272,5
7,49278,4
7,49286,1
7,49824,3
10,31433,3
10,31685,5
10,33145,3
10,33679,3
10,33794,5
10,40629,3
10,40819,4
10,41285,3
10,47099,3
10,49272,5
10,49286,5
10,51662,3
10,51705,5
10,51834,2
10,54286,4
10,56367,4
10,56949,3
10,58047,4
10,58559,5
10,59333,3
10,59421,2
10,60397,3
10,60950,2
10,61250,3
10,63113,4
10,63992,5
10,64969,1
10,66203,4
10,68954,4
10,69406,5
10,69844,3
10,70183,3
10,70293,1
10,71579,5
10,72011,3
10,72330,4
10,72407,3
10,72720,4
10,72737,4
10,72998,3
10,73017,3
10,74450,3
10,77841,2
10,78772,3
10,79091,5
10,80549,4
10,81784,3
10,81845,5
10,81847,4
10,82167,4
10,82499,2
10,84374,4
10,86548,3
10,87222,4
10,88163,4
10,88810,3
10,91104,3
10,91529,5
10,92259,5
10,94070,5
10,95167,4
10,95449,4
10,95510,3
10,95543,4
10,96079,5
10,97024,1
10,97938,1
10,98203,3
10,103335,4
10,103339,4
10,104374,4
10,105211,3
10,106489,4
10,106696,5
10,106782,1
10,107141,2
10,109374,1
10,109487,1
10,109853,4
10,112006,4
10,113275,5
10,113394,4
10,119145,1
10,129428,4
10,136020,5
10,137595,4
10,140110,5
12,40629,5
12,63992,5
15,33493,5
15,48304,5
15,48774,3
15,48780,5
15,50872,3
15,56174,4
15,58559,2
15,59315,2
15,60069,4
15,63859,3
15,64614,4
15,68237,3
15,68954,4
15,69757,4
15,70286,4
15,71057,4
15,71264,3
15,72998,3
15,79132,4
15,84152,5
15,84954,5
15,85414,4
15,89745,2
15,91500,3
15,91529,2
15,94864,3
15,96610,3
15,97938,4
15,99114,1
15,101864,4
15,103249,4
15,104841,5
15,105504,4
15,109374,2
15,109487,4
15,110102,2
15,111759,5
15,112556,5
15,112852,2
15,115149,2
15,115713,2
15,120466,3
15,122882,2
15,122886,5
15,122904,2
15,122922,2
15,122924,1
15,134130,4
15,134853,5
15,143385,3
15,152077,5
15,152081,3
15,158872,4
15,160980,4
15,166528,5
15,166635,4
16,48394,4
16,58559,5
16,60069,4
16,68954,4
16,78499,5
16,79132,3
16,91529,5
17,33794,4
17,48394,5
17,48516,4
17,58559,5
17,60069,4
17,64839,4
17,68157,4
17,68358,5
17,77455,4
17,78499,4
17,79132,5
17,80463,4
17,81932,4
17,82459,4
18,30793,4
18,31685,2
18,32587,4
18,33004,3
18,33615,4
18,33794,5
18,34150,4
18,34405,4
18,36519,3
18,36529,4
18,37386,2
18,37729,4
18,37733,4
18,37741,4
18,38038,4
18,38061,4
18,40819,4
18,44022,4
18,44191,5
18,44199,5
18,44555,4
18,44665,5
18,45499,4
18,45517,4
18,45722,4
18,46578,4
18,46965,1
18,47200,3
18,47491,4
18,48394,4
18,48516,5
18,48780,5
18,49651,4
18,50872,4
18,51540,5
18,51662,4
18,52604,5
18,53125,4
18,53129,3
18,53318,3
18,53464,3
18,53972,3
18,53996,3
18,54272,4
18,54286,4
18,55118,5
18,55247,4
18,55276,4
18,55290,5
18,55765,5
18,56757,4
18,57528,3
18,57640,4
18,57669,4
18,58295,4
18,58299,4
18,58559,4
18,59315,4
18,59615,3
18,59784,4
18,60040,4
18,60074,3
18,60684,4
18,60756,3
18,62434,4
18,63131,4
18,64197,5
18,64614,4
18,64839,4
18,64957,4
18,65596,4
18,66934,4
18,67255,5
18,68073,5
18,68157,4
18,68159,4
18,68319,4
18,68358,4
18,68954,4
18,69122,3
18,69640,4
18,69757,4
18,69951,4
18,70286,4
18,71108,5
18,71156,3
18,71899,5
18,72011,4
18,72378,3
18,72998,4
18,73017,5
18,73268,4
18,73321,4
18,73323,5
18,74458,5
18,74510,5
18,74789,4
18,74948,4
18,76077,3
18,76175,3
18,76251,5
18,77561,4
18,78469,3
18,78499,4
18,79132,5
18,79293,3
18,79592,3
18,79695,4
18,79702,4
18,80219,4
18,80489,4
18,81788,5
18,83349,3
18,84392,5
18,85414,4
18,86190,4
18,86332,4
18,86628,4
18,86880,3
18,87232,4
18,88094,3
18,88129,3
18,88140,4
18,89745,4
18,90600,4
18,91485,4
18,91500,4
18,91529,4
18,91542,4
18,91658,4
18,92094,4
18,95441,3
18,96432,4
18,96488,4
18,96610,3
18,96655,4
18,97752,4
18,97938,3
18,98124,4
18,98585,4
18,98809,4
18,99114,4
18,99728,4
18,99813,4
18,102125,4
18,102445,4
18,102903,4
18,103253,4
18,103772,4
